Offer,Lander,Country,Conversions as Counted for Conversion Cap,Conversion Cap,Visits,Clicks,Conversions,Revenue,Cost,Profit,CPV,CTR,CR,CV,ROI,EPV,EPC,AP,Errors
Global - CPL SMARTLINK BADOO,Direct linking,Turkey,,,213305,0,2,3,20.4263,-17.4263,0.0001,0,0,0.000009,-0.85313,0,0,1.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Germany,,,171862,0,33,92.86,110.7242,-17.8642,0.0006,0,0,0.000192,-0.16134,0.0005,0,2.8139,0
Global - CPL SMARTLINK BADOO,Direct linking,United States,,,165793,0,31,82.5,109.2678,-26.7678,0.0007,0,0,0.000187,-0.244974,0.0005,0,2.6613,0
Global - CPL SMARTLINK BADOO,Direct linking,Italy,,,161862,0,14,39,86.1007,-47.1007,0.0005,0,0,0.000086,-0.547042,0.0002,0,2.7857,0
Global - CPL SMARTLINK BADOO,Direct linking,Japan,,,154838,0,14,11.5,109.179,-97.679,0.0007,0,0,0.00009,-0.894668,0.0001,0,0.8214,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Turkey,,,106415,0,0,0,10.8698,-10.8698,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Spain,,,103248,0,10,30,53.477,-23.477,0.0005,0,0,0.000097,-0.439011,0.0003,0,3,0
Global - CPL SMARTLINK BADOO,Direct linking,South Korea,,,93648,0,19,27,43.4003,-16.4003,0.0005,0,0,0.000203,-0.377884,0.0003,0,1.4211,0
Global - CPL SMARTLINK BADOO,Direct linking,Netherlands,,,67054,0,18,28.5,43.5311,-15.0311,0.0006,0,0,0.000268,-0.345296,0.0004,0,1.5833,0
Global - CPL SMARTLINK BADOO,Direct linking,France,,,61098,0,7,18,28.8393,-10.8393,0.0005,0,0,0.000115,-0.375852,0.0003,0,2.5714,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Italy,,,60467,0,7,21,31.2179,-10.2179,0.0005,0,0,0.000116,-0.32731,0.0003,0,3,0
Global - CPL SMARTLINK BADOO,Direct linking,Serbia,,,59874,0,7,9,23.991,-14.991,0.0004,0,0,0.000117,-0.62486,0.0002,0,1.2857,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,United States,,,59546,0,20,55.5,38.499,17.001,0.0006,0,0,0.000336,0.441597,0.0009,0,2.775,0
Global - CPL SMARTLINK BADOO,Direct linking,Singapore,,,50246,0,9,12,26.0481,-14.0481,0.0005,0,0,0.000179,-0.539313,0.0002,0,1.3333,0
Global - CPL SMARTLINK BADOO,Direct linking,United Kingdom,,,49906,0,8,20,26.505,-6.505,0.0005,0,0,0.00016,-0.245426,0.0004,0,2.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Israel,,,48448,0,10,13.5,50.3066,-36.8066,0.001,0,0,0.000206,-0.731645,0.0003,0,1.35,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Spain,,,48302,0,6,18,22.4782,-4.4782,0.0005,0,0,0.000124,-0.199224,0.0004,0,3,0
Global - CPL SMARTLINK BADOO,Direct linking,Poland,,,48043,0,5,15,12.6791,2.3209,0.0003,0,0,0.000104,0.183053,0.0003,0,3,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,South Korea,,,42946,0,9,13.5,20.3324,-6.8324,0.0005,0,0,0.00021,-0.336034,0.0003,0,1.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Canada,,,38456,0,6,18,24.3027,-6.3027,0.0006,0,0,0.000156,-0.259341,0.0005,0,3,0
Global - CPL SMARTLINK BADOO,Direct linking,Greece,,,37864,0,3,3,36.3735,-33.3735,0.001,0,0,0.000079,-0.917522,0.0001,0,1,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Israel,,,37533,0,3,4.5,46.3164,-41.8164,0.0012,0,0,0.00008,-0.902842,0.0001,0,1.5,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Serbia,,,34251,0,3,4.5,13.4105,-8.9105,0.0004,0,0,0.000088,-0.664441,0.0001,0,1.5,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Netherlands,,,29096,0,8,12,19.9098,-7.9098,0.0007,0,0,0.000275,-0.397283,0.0004,0,1.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Ireland,,,27888,0,4,4.5,14.2376,-9.7376,0.0005,0,0,0.000143,-0.683936,0.0002,0,1.125,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Poland,,,25983,0,5,15,6.4354,8.5646,0.0002,0,0,0.000192,1.330865,0.0006,0,3,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,France,,,25779,0,2,6,10.7242,-4.7242,0.0004,0,0,0.000078,-0.440517,0.0002,0,3,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Singapore,,,25301,0,9,13,13.6976,-0.6976,0.0005,0,0,0.000356,-0.05093,0.0005,0,1.4444,0
Global - CPL SMARTLINK BADOO,Direct linking,Bulgaria,,,24609,0,9,13.5,12.0611,1.4389,0.0005,0,0,0.000366,0.119305,0.0005,0,1.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Czech Republic,,,24363,0,0,0,7.2929,-7.2929,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Chile,,,24224,0,8,20,4.5966,15.4034,0.0002,0,0,0.00033,3.351006,0.0008,0,2.5,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,United Kingdom,,,22131,0,3,7.5,11.6626,-4.1626,0.0005,0,0,0.000136,-0.35692,0.0003,0,2.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Belgium,,,20881,0,1,1.5,17.26,-15.76,0.0008,0,0,0.000048,-0.913094,0.0001,0,1.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Portugal,,,19776,0,6,9,8.8274,0.1726,0.0004,0,0,0.000303,0.019547,0.0005,0,1.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Slovakia,,,19632,0,0,0,8.0076,-8.0076,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Hong Kong,,,18178,0,1,1.5,10.5483,-9.0483,0.0006,0,0,0.000055,-0.857798,0.0001,0,1.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Australia,,,17898,0,3,4.5,10.1716,-5.6716,0.0006,0,0,0.000168,-0.557593,0.0003,0,1.5,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Canada,,,15727,0,2,6,9.9523,-3.9523,0.0006,0,0,0.000127,-0.397124,0.0004,0,3,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Bulgaria,,,15289,0,2,3,7.9345,-4.9345,0.0005,0,0,0.000131,-0.621904,0.0002,0,1.5,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Slovakia,,,14785,0,0,0,6.146,-6.146,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Chile,,,14612,0,3,7.5,2.3828,5.1172,0.0002,0,0,0.000205,2.147568,0.0005,0,2.5,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Ireland,,,13987,0,3,4.5,6.6114,-2.1114,0.0005,0,0,0.000214,-0.319361,0.0003,0,1.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Switzerland,,,13698,0,0,0,14.5708,-14.5708,0.0011,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Czech Republic,,,13270,0,3,7.5,3.5961,3.9039,0.0003,0,0,0.000226,1.0856,0.0006,0,2.5,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Greece,,,13084,0,1,1.5,12.3079,-10.8079,0.0009,0,0,0.000076,-0.878127,0.0001,0,1.5,0
Global - CPL SMARTLINK BADOO,Direct linking,Sweden,,,13062,0,1,1.5,7.8349,-6.3349,0.0006,0,0,0.000077,-0.808549,0.0001,0,1.5,0
Global - CPL POP 4  BADOO (pop),Direct linking,Spain,,,12422,0,2,6,6.2059,-0.2059,0.0005,0,0,0.000161,-0.033184,0.0005,0,3,0
Global - CPL POP 4  BADOO (pop),Direct linking,Bulgaria,,,12415,0,2,3,6.7454,-3.7454,0.0005,0,0,0.000161,-0.55525,0.0002,0,1.5,0
Global - CPL POP 4  BADOO (pop),Direct linking,Czech Republic,,,12369,0,8,20,2.0363,17.9637,0.0002,0,0,0.000647,8.821728,0.0016,0,2.5,0
Global - VISIT-X - Roulette  PU DE for RTT traffic,Direct linking,Germany,,,12332,0,0,0,8.102,-8.102,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Puerto Rico,,,12137,0,0,0,5.6551,-5.6551,0.0005,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Poland,,,11841,0,7,21,2.6791,18.3209,0.0002,0,0,0.000591,6.838315,0.0018,0,3,0
Global - CPL SMARTLINK BADOO,Direct linking,Hungary,,,11772,0,0,0,4.4623,-4.4623,0.0004,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Chile,,,11181,0,8,20,2.4739,17.5261,0.0002,0,0,0.000715,7.084426,0.0018,0,2.5,0
Global - CPL POP 4  BADOO (pop),Direct linking,Hungary,,,10100,0,4,4.5,3.4885,1.0115,0.0003,0,0,0.000396,0.289947,0.0004,0,1.125,0
Global - CPL SMARTLINK BADOO,Direct linking,New Zealand,,,9060,0,2,3,5.6066,-2.6066,0.0006,0,0,0.000221,-0.46492,0.0003,0,1.5,0
